userdata	1
team	65	Saint Petersburg Academic University – Nanotechnology Research and Education Centre RAS	team-065	ofYb7wuf
team	21	Free University of Tbilisi	team-021	wuVVtPTg
team	123	University of Wroclaw	team-123	SUxDcPkq
team	46	Lviv National University	team-046	kkG5j7XB
team	59	Nazarbayev University	team-059	6ehGFGiZ
team	79	The Australian National University	team-079	SCyE4x56
team	82	The University of Western Australia	team-082	uijt2NXA
team	115	University of New South Wales	team-115	Xw3WNw2d
team	102	University of California Los Angeles	team-102	pcEHaGgj
team	105	University of Chicago	team-105	KrSRWNDS
team	113	University of Michigan at Ann Arbor	team-113	t2UuiNUN
team	77	Stanford University	team-077	VD3egvdb
team	49	Messiah College	team-049	7hg4Gs4T
team	121	University of Waterloo	team-121	XiF2Ju4k
team	109	University of Illinois at Urbana-Champaign	team-109	DNdaAzL6
team	36	Iowa State University	team-036	av52NodC
team	104	University of Central Florida	team-104	PjHBDpHi
team	60	Northwestern University	team-060	bdiHpFxU
team	100	University of Calgary	team-100	w6vyNUVf
team	125	Virginia Tech	team-125	WZG69LWV
team	101	University of California at Berkeley	team-101	LkGVM3W9
team	25	Georgia Institute of Technology	team-025	XCej2Zki
team	64	Rice University	team-064	GBuXyGzK
team	13	Cornell University	team-013	EELTscvx
team	10	Carleton College	team-010	6TFB8pik
team	117	University of Southern California	team-117	eUPxDkCi
team	63	Princeton University	team-063	jqPucUZZ
team	11	Carnegie Mellon University	team-011	KrPhuh4S
team	47	Massachusetts Institute of Technology	team-047	TfvkEZdc
team	28	Harvard University	team-028	yv6HEp97
team	114	University of Minnesota - Twin Cities	team-114	5aGpbsYu
team	111	University of Maryland	team-111	LC5yHjVD
team	122	University of Wisconsin - Madison	team-122	JMYiiy6b
